Date;Price;Stop;Margin;Diff
2017.08.30 22:33:42;384.006;379.903;4.497;4.103
2017.08.30 22:34:13;384.500;380.003;4.497;4.497
2017.08.30 22:34:44;385.709;381.212;4.497;4.497
2017.08.30 22:35:15;384.000;381.212;4.497;2.788
2017.08.30 22:35:46;384.450;379.953;4.497;4.497
2017.08.30 22:36:17;384.449;379.953;4.497;4.496
2017.08.30 22:36:48;384.449;379.953;4.497;4.496
2017.08.30 22:37:19;384.449;379.953;4.497;4.496
2017.08.30 22:37:50;384.449;379.953;4.497;4.496
2017.08.30 22:38:21;384.449;379.953;4.497;4.496
2017.08.30 22:38:52;384.450;379.953;4.497;4.497
2017.08.30 22:39:23;384.450;379.953;4.497;4.497
2017.08.30 22:39:54;384.450;379.953;4.497;4.497
2017.08.30 22:40:26;384.430;379.953;4.497;4.477
2017.08.30 22:40:58;384.450;379.953;4.497;4.497
2017.08.30 22:41:29;384.450;379.953;4.497;4.497
2017.08.30 22:42:00;384.437;379.953;4.497;4.484
2017.08.30 22:42:30;384.437;379.953;4.497;4.484
2017.08.30 22:43:01;384.437;379.953;4.497;4.484
2017.08.30 22:43:32;384.437;379.953;4.497;4.484
2017.08.30 22:44:02;384.400;379.953;4.497;4.447
2017.08.30 22:44:32;384.400;379.953;4.497;4.447
2017.08.30 22:45:03;384.450;379.953;4.497;4.497
2017.08.30 22:45:34;384.500;380.003;4.497;4.497
2017.08.30 22:46:05;385.367;380.870;4.497;4.497
2017.08.30 22:46:36;385.375;380.878;4.497;4.497
2017.08.30 22:47:07;385.450;380.953;4.497;4.497
2017.08.30 22:47:38;385.450;380.953;4.497;4.497
2017.08.30 22:48:09;385.450;380.953;4.497;4.497
2017.08.30 22:48:40;385.450;380.953;4.497;4.497
2017.08.30 22:49:11;385.450;380.953;4.497;4.497
2017.08.30 22:49:43;385.896;381.399;4.497;4.497
2017.08.30 22:50:14;385.859;381.399;4.497;4.460
2017.08.30 22:50:45;385.859;381.399;4.497;4.460
2017.08.30 22:51:16;385.980;381.483;4.497;4.497
2017.08.30 22:51:47;385.577;381.483;4.497;4.094
2017.08.30 22:52:18;385.959;381.462;4.497;4.497
2017.08.30 22:52:49;385.959;381.462;4.497;4.497
2017.08.30 22:53:20;385.975;381.478;4.497;4.497
2017.08.30 22:53:51;385.959;381.478;4.497;4.481
2017.08.30 22:54:24;385.959;381.478;4.497;4.481
2017.08.30 22:54:55;385.994;381.497;4.497;4.497
2017.08.30 22:55:26;385.994;381.497;4.497;4.497
2017.08.30 22:55:57;385.854;381.497;4.497;4.357
2017.08.30 22:56:28;385.854;381.497;4.497;4.357
2017.08.30 22:56:59;385.979;381.482;4.497;4.497
2017.08.30 22:57:31;385.979;381.482;4.497;4.497
2017.08.30 22:58:01;386.000;381.503;4.497;4.497
2017.08.30 22:58:32;386.000;381.503;4.497;4.497
2017.08.30 22:59:03;386.000;381.503;4.497;4.497
2017.08.30 22:59:34;386.000;381.503;4.497;4.497
2017.08.30 23:00:04;386.000;381.503;4.497;4.497
2017.08.30 23:00:35;385.979;381.503;4.497;4.476
2017.08.30 23:01:06;386.000;381.503;4.497;4.497
2017.08.30 23:01:37;386.000;381.503;4.497;4.497
2017.08.30 23:02:08;386.000;381.503;4.497;4.497
2017.08.30 23:02:39;386.000;381.503;4.497;4.497
2017.08.30 23:03:11;386.400;381.903;4.497;4.497
2017.08.30 23:03:42;386.516;382.019;4.497;4.497
2017.08.30 23:04:13;386.926;382.429;4.497;4.497
2017.08.30 23:04:43;387.000;382.503;4.497;4.497
2017.08.30 23:05:14;387.000;382.503;4.497;4.497
2017.08.30 23:05:46;387.070;382.573;4.497;4.497
