Date;Price;StopLimit;Margin;Diff
2017-09-05 17:26:18;0;LTC;71.85130;70;1.85130
2017-09-05 17:26:25;0;LTC;71.85130;70;1.85130
2017-09-05 17:26:30;0;LTC;71.85130;70;1.85130
2017-09-05 17:26:36;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:26:43;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:26:50;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:26:56;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:27:02;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:27:10;0;LTC;72.00110;70.39870;1.60240
2017-09-05 17:27:17;0;LTC;72.25000;70.39870;1.85130
2017-09-05 17:27:24;0;LTC;72.71000;70.85870;1.85130
2017-09-05 17:27:29;0;LTC;72.71000;70.85870;1.85130
2017-09-05 17:27:35;0;LTC;72.71000;70.85870;1.85130
2017-09-05 17:27:40;0;LTC;72.71000;70.85870;1.85130
2017-09-05 17:27:47;0;LTC;72.49940;70.85870;1.64070
2017-09-05 17:27:54;0;LTC;72.49940;70.85870;1.64070
2017-09-05 17:28:00;0;LTC;72.49940;70.85870;1.64070
2017-09-05 17:28:07;0;LTC;72.25000;70.85870;1.39130
2017-09-05 17:28:12;0;LTC;72.25000;70.85870;1.39130
2017-09-05 17:28:18;0;LTC;72.25000;70.85870;1.39130
2017-09-05 17:28:25;0;LTC;72.25000;70.85870;1.39130
2017-09-05 17:28:30;0;LTC;72.25000;70.85870;1.39130
2017-09-05 17:28:37;0;LTC;72.49000;70.85870;1.63130
2017-09-05 17:28:43;0;LTC;72.00000;70.85870;1.14130
2017-09-05 17:28:48;0;LTC;72.00000;70.85870;1.14130
2017-09-05 17:28:54;0;LTC;72.49000;70.85870;1.63130
2017-09-05 17:29:01;0;LTC;72.49920;70.85870;1.64050
2017-09-05 17:29:07;0;LTC;72.49920;70.85870;1.64050
2017-09-05 17:29:13;0;LTC;72.49920;70.85870;1.64050
2017-09-05 17:29:20;0;LTC;72.49000;70.85870;1.63130
2017-09-05 17:29:26;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:29:31;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:29:37;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:29:44;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:29:50;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:29:55;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:01;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:08;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:13;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:20;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:27;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:32;0;LTC;72.48960;70.85870;1.63090
2017-09-05 17:30:39;0;LTC;72.02100;70.85870;1.16230
2017-09-05 17:30:45;0;LTC;72.02100;70.85870;1.16230
2017-09-05 17:30:52;0;LTC;72.02100;70.85870;1.16230
2017-09-05 17:30:58;0;LTC;72.02100;70.85870;1.16230
2017-09-05 17:31:04;0;LTC;72.02100;70.85870;1.16230
