Date;Price;StopLimit;Margin;Diff
2017-09-09 08:19:58;0;LTC;73.40000;72.7;0.70000
2017-09-09 08:20:29;0;LTC;73.17000;72.7;0.47000
2017-09-09 08:21:02;0;LTC;73.17000;72.7;0.47000
2017-09-09 08:21:34;0;LTC;73.69000;72.99000;0.70000
2017-09-09 08:22:05;0;LTC;73.84000;73.14000;0.70000
2017-09-09 08:22:35;0;LTC;73.84000;73.14000;0.70000
2017-09-09 08:23:06;0;LTC;73.18000;73.14000;0.04000
2017-09-09 08:23:36;0;LTC;73.18000;73.14000;0.04000
2017-09-09 08:24:09;0;LTC;73.22000;73.14000;0.08000
2017-09-09 08:24:41;0;LTC;73.24000;73.14000;0.10000
2017-09-09 08:25:12;0;LTC;73.27000;73.14000;0.13000
2017-09-09 08:25:44;0;LTC;73.29000;73.14000;0.15000
2017-09-09 08:26:15;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:26:46;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:27:32;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:28:22;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:28:54;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:29:39;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:30:25;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:31:11;0;LTC;73.76000;73.14000;0.62000
2017-09-09 08:31:41;0;LTC;73.53000;73.14000;0.39000
